iter	Passed	Remaining
405	7450	1724
406	7467	1706
407	7482	1687
408	7500	1668
409	7515	1649
410	7531	1630
411	7546	1611
412	7570	1594
413	7586	1576
414	7601	1556
415	7615	1537
416	7633	1519
417	7647	1500
418	7665	1481
419	7680	1462
420	7698	1444
421	7713	1425
422	7732	1407
423	7749	1389
424	7767	1370
425	7782	1351
426	7799	1333
427	7816	1314
428	7833	1296
429	7847	1277
430	7862	1258
431	7881	1240
432	7896	1221
433	7914	1203
434	7931	1185
435	7946	1166
436	7962	1147
437	7979	1129
438	7995	1111
439	8011	1092
440	8027	1074
441	8042	1055
442	8058	1036
443	8072	1018
444	8089	999
445	8105	981
446	8119	962
447	8135	944
448	8151	925
449	8169	907
450	8184	889
451	8201	870
452	8216	852
453	8233	834
454	8249	815
455	8268	797
456	8283	779
457	8302	761
458	8318	743
459	8332	724
460	8347	706
461	8364	688
462	8382	669
463	8414	652
464	8431	634
465	8447	616
466	8463	598
467	8481	579
468	8496	561
469	8513	543
470	8529	525
471	8547	507
472	8562	488
473	8579	470
474	8597	452
475	8613	434
476	8629	416
477	8644	397
478	8662	379
479	8679	361
480	8694	343
481	8711	325
482	8730	307
483	8745	289
484	8763	271
485	8777	252
486	8794	234
487	8809	216
488	8825	198
489	8839	180
490	8856	162
491	8871	144
492	8889	126
493	8905	108
494	8922	90
495	8937	72
496	8955	54
497	8969	36
498	8987	18
499	9001	0
