iter	RMSE
160	112.6140245
161	112.4782443
162	112.1880555
163	111.8510502
164	111.4789075
165	111.3594655
166	110.9937181
167	110.2361206
168	109.9876088
169	109.6898254
170	109.4432789
171	109.0964118
172	109.037781
173	108.9241624
174	108.8090996
175	108.7515912
176	108.2406896
177	107.6692109
178	107.2506921
179	107.1604277
180	106.9133047
181	106.54754
182	106.3727755
183	106.1862859
184	105.9863398
185	105.7160114
186	105.4928246
187	105.2801828
188	105.0562762
189	104.6122859
190	104.4248547
191	104.1104562
192	103.9400371
193	103.4745824
194	103.1797697
195	103.0078127
196	102.8156797
197	102.6275868
198	102.4222488
199	102.2524569
200	102.051832
201	101.8431372
202	101.4649488
203	101.1636383
204	100.9285715
205	100.7839688
206	100.6546938
207	100.2183244
208	100.0305832
209	99.89021457
210	99.78706505
211	99.48227617
212	99.39707021
213	99.32043088
214	99.23036434
215	98.96274977
216	98.80330386
217	98.46810992
218	98.26737789
219	98.08686128
220	97.91364431
221	97.57353841
222	97.35659563
223	97.14120559
224	96.9408775
225	96.58962709
226	96.50930158
227	96.35427355
228	96.20440934
229	96.12796767
230	95.92654779
231	95.70207647
232	95.38178584
233	95.26994922
234	95.00320856
235	94.88227131
236	94.66716584
237	94.51225988
238	94.44720178
239	94.21674279
240	94.04418454
241	93.8235072
242	93.68153845
243	93.58623729
244	93.50792754
245	93.4094757
246	93.32358911
247	93.14309513
248	92.86846857
249	92.70901626
250	92.43004997
251	92.31960186
252	91.8430786
253	91.5220546
254	91.39003009
255	91.1554361
256	91.04430731
257	90.79926371
258	90.66450365
259	90.49801672
260	90.39036993
261	90.25273914
262	90.03130206
263	89.94138803
264	89.77505957
265	89.70668938
266	89.32255092
267	88.98815733
268	88.8651135
269	88.69752512
270	88.19072024
271	88.07685299
272	87.93543399
273	87.83810582
274	87.66557399
275	87.52896105
276	87.38636797
277	87.28023013
278	87.16149348
279	87.05301879
280	86.88735646
281	86.76898009
282	86.69322074
283	86.50068009
284	86.30359981
285	86.20759575
286	86.17034676
287	86.09552083
288	85.7090664
289	85.50704679
290	85.4219176
291	85.28604914
292	85.16103996
293	85.10937618
294	85.01259699
295	84.88443658
296	84.62800666
297	84.40331787
298	84.24097776
299	84.16614142
300	84.10002521
301	83.96212954
302	83.86458038
303	83.73493714
304	83.65966016
305	83.55797592
306	83.37897648
307	83.1521086
308	83.07978414
309	82.95605702
310	82.81160889
311	82.74881461
312	82.6245419
313	82.43811194
314	82.31870384
315	82.22791173
316	82.05642665
317	81.92115948
318	81.82675255
319	81.70228365
320	81.60560675
321	81.47846843
322	81.40856763
323	81.32642452
324	81.25816042
325	81.12656559
326	81.03759516
327	80.96152409
328	80.9035032
329	80.71701761
330	80.60185072
331	80.5331708
332	80.29393307
333	80.22553079
334	80.14626135
335	80.06766135
336	79.9354845
337	79.77283147
338	79.74148879
339	79.56034999
340	79.44311109
341	79.29125562
342	79.23448214
343	79.14584331
344	78.96399703
345	78.91228835
346	78.86451914
347	78.53172934
348	78.42871855
349	78.29332938
350	78.21462022
351	78.10980544
352	77.93418827
353	77.54128717
354	77.48599591
355	77.3298064
356	77.19749845
357	77.13834702
358	77.04161331
359	76.87017721
360	76.80926788
361	76.71602942
362	76.58619814
363	76.4855359
364	76.41251863
365	76.33425503
366	76.20929868
367	76.1263828
368	76.04101971
369	75.86573414
370	75.80095577
371	75.64929142
372	75.53265883
373	75.423736
374	75.34508949
375	75.2975586
376	75.19198263
377	75.06310906
378	75.02474981
379	74.89353845
380	74.83664327
381	74.78050817
382	74.56920685
383	74.47385487
384	74.35654361
385	74.24897188
386	74.0952915
387	74.03761838
388	73.99598526
389	73.83595853
390	73.74044504
391	73.58061841
392	73.44705285
393	73.39254355
394	73.33130692
395	73.2441768
396	73.15663208
397	73.09646986
398	72.93110734
399	72.83498072
400	72.68447261
401	72.57012654
402	72.40853823
403	72.34919446
404	72.24196947
405	72.16817836
406	72.10487113
407	72.03298113
408	71.93324832
409	71.83979689
410	71.7707363
411	71.66381919
412	71.57109794
413	71.52792205
414	71.49410285
415	71.47841047
416	71.38596494
417	71.32600569
418	71.23366701
419	71.18559846
420	71.0996998
421	70.99413986
422	70.91383201
423	70.84971298
424	70.69350307
425	70.62173307
426	70.56352915
427	70.53797479
428	70.43881225
429	70.28291882
430	70.1701902
431	69.96295441
432	69.9052897
433	69.81722577
434	69.70757466
435	69.64626313
436	69.54429263
437	69.50922866
438	69.46010375
439	69.33701054
440	69.19886686
441	69.12839194
442	69.10472021
443	69.00592084
444	68.95947682
445	68.87029554
446	68.81816786
447	68.77879056
448	68.69512408
449	68.65223782
450	68.52419123
451	68.46714011
452	68.31657999
453	68.23885751
454	68.17927892
455	68.08480974
456	67.99396637
457	67.87325967
458	67.77788949
459	67.73585477
460	67.66427115
461	67.57044395
462	67.48710936
463	67.43036348
464	67.32454463
465	67.25161977
466	67.17478492
467	67.12545328
468	67.03243524
469	66.95301749
470	66.88406937
471	66.84352926
472	66.75879168
473	66.63822142
474	66.51805691
475	66.47164021
476	66.37332288
477	66.34969498
478	66.23085635
479	66.16355554
480	66.07159658
481	66.02898265
482	65.97504618
483	65.91199652
484	65.89550159
485	65.73928855
486	65.64019135
487	65.53152767
488	65.46670916
489	65.40722785
490	65.36631605
491	65.30983429
492	65.22092167
493	65.16040841
494	65.12006565
495	65.06909761
496	64.9228646
497	64.85028802
498	64.75945349
499	64.69408104
